,word,ls_word_acc,cr_word_acc,ls_word_count,cr_word_count
796,mien,0.0,0.0,2,2
801,mint,0.0,0.0,2,2
802,minx,0.0,0.0,2,2
803,mo,0.0,50.0,2,2
806,moire,0.0,0.0,2,2
812,mop,0.0,0.0,2,2
817,muir,0.0,0.0,2,2
818,muscovado,0.0,0.0,2,2
822,nana,0.0,0.0,2,2
823,nauplius,0.0,0.0,2,2
831,northeasterly,0.0,50.0,2,2
832,northeastern,0.0,100.0,2,2
833,null,0.0,0.0,2,2
846,otto,0.0,0.0,2,2
847,outed,0.0,0.0,2,2
848,overbusy,0.0,0.0,2,2
853,papillon,0.0,0.0,2,2
858,pecked,0.0,0.0,2,2
869,plumet,0.0,0.0,2,2
872,pont,0.0,0.0,2,2
879,primus,0.0,50.0,2,2
881,professorial,0.0,0.0,2,2
884,proprietress,0.0,50.0,2,2
885,pu,0.0,0.0,2,2
887,pulp,0.0,0.0,2,2
893,pygmy,0.0,0.0,2,2
895,quarreled,0.0,0.0,2,2
896,quay,0.0,0.0,2,2
901,reed,0.0,0.0,2,2
906,renal,0.0,50.0,2,2
908,revenant,0.0,50.0,2,2
911,rime,0.0,0.0,2,2
914,roi,0.0,0.0,2,2
920,sacra,0.0,0.0,2,2
926,schematic,0.0,50.0,2,2
931,seashore,0.0,0.0,2,2
935,selfsame,0.0,0.0,2,2
936,semicircular,0.0,0.0,2,2
937,serjeant,0.0,0.0,2,2
945,sip,0.0,0.0,2,2
947,skein,0.0,0.0,2,2
949,somersault,0.0,50.0,2,2
950,sometime,0.0,50.0,2,2
951,spawn,0.0,0.0,2,2
957,stationmaster,0.0,0.0,2,2
958,steppe,0.0,0.0,2,2
964,sulphuric,0.0,0.0,2,2
966,swum,0.0,0.0,2,2
969,tabor,0.0,0.0,2,2
970,takin,0.0,0.0,2,2
975,tay,0.0,0.0,2,2
976,tempi,0.0,0.0,2,2
977,thatch,0.0,0.0,2,2
986,tithing,0.0,0.0,2,2
987,toilette,0.0,0.0,2,2
988,tol,0.0,0.0,2,2
989,torchlight,0.0,50.0,2,2
991,triptych,0.0,0.0,2,2
996,ull,0.0,0.0,2,2
998,unattached,0.0,50.0,2,2
999,unattainable,0.0,50.0,2,2
1002,untie,0.0,50.0,2,2
1003,vale,0.0,0.0,2,2
1010,viscous,0.0,0.0,2,2
1012,vomit,0.0,50.0,2,2
1016,waif,0.0,0.0,2,2
1018,wat,0.0,0.0,2,2
1019,waterline,0.0,0.0,2,2
1021,weighted,0.0,0.0,2,2
1025,whelp,0.0,0.0,2,2
1026,whin,0.0,0.0,2,2
1027,willful,0.0,0.0,2,2
1028,willie,0.0,50.0,2,2
1033,yas,0.0,0.0,2,2
1043,abhor,0.0,0.0,1,1
1044,abhorrent,0.0,0.0,1,1
1046,abnormally,0.0,100.0,1,1
1049,abridged,0.0,100.0,1,1
1054,absinthe,0.0,100.0,1,1
1056,academician,0.0,100.0,1,1
1064,acone,0.0,0.0,1,1
1070,adage,0.0,0.0,1,1
1072,addlepated,0.0,0.0,1,1
1075,adieux,0.0,0.0,1,1
1077,adjective,0.0,100.0,1,1
1080,admonish,0.0,0.0,1,1
1090,aesthetically,0.0,0.0,1,1
1093,afeard,0.0,0.0,1,1
1098,aflame,0.0,0.0,1,1
1099,aforesaid,0.0,0.0,1,1
1104,afterthought,0.0,0.0,1,1
1121,akimbo,0.0,0.0,1,1
1123,alarum,0.0,0.0,1,1
1126,albeit,0.0,0.0,1,1
1128,alder,0.0,0.0,1,1
1129,alec,0.0,0.0,1,1
1131,aleph,0.0,0.0,1,1
1133,alf,0.0,0.0,1,1
1139,allan,0.0,100.0,1,1
1140,allay,0.0,0.0,1,1
1143,allot,0.0,0.0,1,1
1148,almshouse,0.0,0.0,1,1
1150,aluminium,0.0,100.0,1,1
1153,amateurishness,0.0,0.0,1,1
1155,amaze,0.0,0.0,1,1
1158,ambrosia,0.0,0.0,1,1
1159,ambrosial,0.0,100.0,1,1
1164,amphioxus,0.0,0.0,1,1
1167,anarchical,0.0,100.0,1,1
1168,anathema,0.0,100.0,1,1
1171,ancestry,0.0,100.0,1,1
1173,andante,0.0,0.0,1,1
1179,angelique,0.0,0.0,1,1
1181,animistic,0.0,0.0,1,1
1182,aniseed,0.0,100.0,1,1
1183,ann,0.0,0.0,1,1
1189,anorak,0.0,0.0,1,1
1193,antechamber,0.0,100.0,1,1
1195,antichrist,0.0,0.0,1,1
1197,antithesis,0.0,100.0,1,1
1198,antlered,0.0,0.0,1,1
1202,aplenty,0.0,0.0,1,1
1207,apostolic,0.0,0.0,1,1
1211,apotheoses,0.0,0.0,1,1
1214,appositely,0.0,0.0,1,1
1215,appraising,0.0,0.0,1,1
1227,arca,0.0,0.0,1,1
1238,arpeggio,0.0,0.0,1,1
1243,arrowed,0.0,100.0,1,1
1244,arrowy,0.0,0.0,1,1
1246,arsenic,0.0,0.0,1,1
1253,ascension,0.0,100.0,1,1
1258,assail,0.0,0.0,1,1
1265,ast,0.0,0.0,1,1
1267,astrakhan,0.0,0.0,1,1
1275,aulic,0.0,0.0,1,1
1276,aureole,0.0,0.0,1,1
1281,autistic,0.0,0.0,1,1
1286,avert,0.0,0.0,1,1
1287,aviary,0.0,0.0,1,1
1288,avocation,0.0,0.0,1,1
1291,aw,0.0,0.0,1,1
1293,awesome,0.0,0.0,1,1
1295,axially,0.0,0.0,1,1
1302,babby,0.0,0.0,1,1
1305,backache,0.0,0.0,1,1
1306,backbiter,0.0,0.0,1,1
1307,backside,0.0,0.0,1,1
1308,backslider,0.0,100.0,1,1
1312,backwater,0.0,0.0,1,1
1323,balky,0.0,0.0,1,1
1324,balled,0.0,0.0,1,1
1325,balsamy,0.0,0.0,1,1
1326,bandbox,0.0,0.0,1,1
1329,banns,0.0,0.0,1,1
